case_id,semantic_family,length_level,templated_prompt_tokens,corpus_sha256,prompt_sha256,execution_round,execution_position,selection_roles,source_sha256,derivation_id,analysis_code_version,source_evidence_class,derived_evidence_class,protocol,authority_scope
02-formal-b3,formal logic / proof-style reasoning,3,237,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,26adef5be3e51f74803d551de3a5f65d3873883c963a0bfb54d3cecf5b2dfcbc,3,2,"[""FAMILY_REPRESENTATIVE"",""STAGE_A_PRIMARY"",""STAGE_B_REPRESENTATIVE""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
02-formal-b4,formal logic / proof-style reasoning,4,262,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,de9128c31f97af7324b52bf710d543bf2458c70e3cfc5a00b9b0f652a603eb68,4,2,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
02-formal-b5,formal logic / proof-style reasoning,5,291,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,656a3f89c831ea81e277ca24b7dcfcc9367dd2aa34ea5eac78b65fa73f7ea36b,5,2,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
02-formal-b6,formal logic / proof-style reasoning,6,313,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,7e73adeb840e05473fa7877d5e3186e9283b94c580bef519b29e12da626de7c7,6,2,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
02-formal-b7,formal logic / proof-style reasoning,7,335,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,b00f268f322d23908d70533c56ffa598fb3521efacc1fbed481164efb17667d2,7,2,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
02-formal-b8,formal logic / proof-style reasoning,8,374,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,07feaa4c7b82fa41050b9e2d520abb5dfc74fb3e09af0e8cf11ec68ee48fd870,8,2,"[""ADDITIONAL_HIGH_HIT"",""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
03-science-b1,physics / scientific reasoning,1,154,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,b4c096943f4d1055e84d351719fd89ceb318a177fa883555554f9d360e72654c,1,3,"[""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
03-science-b2,physics / scientific reasoning,2,192,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,d83994d8ae1c69c395224e14e97739be6310db7dd7e98c273ca2afae4a4c612c,2,3,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
03-science-b3,physics / scientific reasoning,3,225,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,1fe5fe8ddb0c8456b6697e8744b2a422dfb49de37ab8a163e6239a5a0d4365c8,3,3,"[""FAMILY_REPRESENTATIVE"",""STAGE_A_PRIMARY"",""STAGE_B_REPRESENTATIVE""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
03-science-b4,physics / scientific reasoning,4,270,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,40bbead9311ca250eb03fdf4b97c23cce549d651871273839e51a620fc5c89b3,4,3,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
03-science-b5,physics / scientific reasoning,5,300,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,eea91c1709fbef2e7a993628846ed8d51f7866afbf3c463e71dfb64c4c5bfa62,5,3,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
03-science-b6,physics / scientific reasoning,6,320,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,69dc152bc4eba712ac56c506d719ffa578fec7478ac6ae8b8e70417db2db6c6f,6,3,"[""ADDITIONAL_HIGH_HIT"",""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
03-science-b7,physics / scientific reasoning,7,356,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,a14e3dbf1ee2a6677bd5dccbc89b4982c2d5cdceb8284be9a0d148c936ff94bb,7,3,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
03-science-b8,physics / scientific reasoning,8,375,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,a09e4b531274771456b36d6ffe5d6ce082daf0653f52866d11a353a982990be5,8,3,"[""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
04-factual-b1,factual / explanatory knowledge,1,165,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,38897011f5c66a5da9e1a8bda705a191762c69e6c9378d83742f7ec2a5e102d7,1,4,"[""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
04-factual-b2,factual / explanatory knowledge,2,199,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,c4405384bba6f916b9aa932948c294a54344aa8755a8251f40ae1f1cb594e56d,2,4,"[""FAMILY_REPRESENTATIVE"",""STAGE_A_PRIMARY"",""STAGE_B_REPRESENTATIVE""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
04-factual-b3,factual / explanatory knowledge,3,215,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,eb0457b4e5461ba70766eb8710e594fdc627387510aede10bb84616e93cc0d4b,3,4,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
04-factual-b4,factual / explanatory knowledge,4,254,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,3cde5b1f0b2a94276c5cb4c5763fb824838f7470c6bc423cf93903ea9eab166b,4,4,"[""ADDITIONAL_LOW_HIT"",""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
04-factual-b5,factual / explanatory knowledge,5,279,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,7bfd29963dd6ab73515a9aaad24268046250903cfa6d6fb8c5985c7a42378c1f,5,4,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
04-factual-b6,factual / explanatory knowledge,6,323,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,92f3324f1fa47fcc581e2fa5565ba6e98499284aee6c0f260b62c133abcd570a,6,4,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
04-factual-b7,factual / explanatory knowledge,7,357,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,ec7d3e456cba7797f89d0a634df529403fe9fb81439f23445e941aefe91556f2,7,4,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
04-factual-b8,factual / explanatory knowledge,8,386,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,327785a47c0d0ee87199eff07f3eafedc8bc6effea1dc3d1962f64c69697931c,8,4,"[""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
05-codegen-b1,code generation,1,168,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,d3df1c3922584c4750c4f4963f9c19573bd0693a84c064a658b8c5f9960097a4,1,5,"[""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
05-codegen-b2,code generation,2,203,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,7847b356054cef33169242ab3b01bb0540546d809b2b78a5a5c17934e6af97e2,2,5,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
05-codegen-b3,code generation,3,233,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,c15d2de2210ed5f2e4d4d36639594fefa8d088035c2781fcd6dd05e7b2714a12,3,5,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
05-codegen-b4,code generation,4,263,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,e9d5d41b4134ba64106d6839becc11183f8a0e015108c8edfba493726189f195,4,5,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
05-codegen-b5,code generation,5,278,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,1ab8605172548e42ed0aa3f661b3abdedb8555e67529962b9546720bf4ecd18f,5,5,"[""FAMILY_REPRESENTATIVE"",""STAGE_A_PRIMARY"",""STAGE_B_REPRESENTATIVE""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
05-codegen-b6,code generation,6,314,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,cb342199367769e338c00734ea7b8c856553b85d18f0378ae8d917a7f37e341f,6,5,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
05-codegen-b7,code generation,7,356,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,8e3290fe3d091ea7e5f310126a4000e5c1fd2fec2287e796a748e091e04da472,7,5,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
05-codegen-b8,code generation,8,392,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,0a4f7dcb529be5f57c27fd5e095ad6984de3552a904b1118820b24e1c70bd3e8,8,5,"[""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
06-debug-b1,debugging / code review,1,165,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,a084c4163cad266a246bdb020fd4f131d2b4f63020c554f369cc872c09c36141,1,6,"[""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
06-debug-b2,debugging / code review,2,191,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,1c7f8e748b3e1282f0ed6ab09bc35b900ba22d10c54a17e680f748dbae3f8807,2,6,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
06-debug-b3,debugging / code review,3,229,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,6a349c444ee1c3bd4879ca310fd321bcd4edf40d3055cf4e330c4a6cea16e014,3,6,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
06-debug-b4,debugging / code review,4,278,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,09fcdae322e8fbfbd766a1d394b8c4f70c9582346c8dcf0045fbff5080a23125,4,6,"[""FAMILY_REPRESENTATIVE"",""STAGE_A_PRIMARY"",""STAGE_B_REPRESENTATIVE""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
06-debug-b5,debugging / code review,5,280,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,261a10b2e85870187631e24339c0d7a99b8370b1a04540aa697e876c0c4315c4,5,6,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
06-debug-b6,debugging / code review,6,320,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,94b7c19c081c9a319a1210c7639d34bc24677508722178715ab76ef3381020d2,6,6,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
06-debug-b7,debugging / code review,7,367,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,ac52e2126149e0740bde6a8cc6fd8d640cd7abbcfa8f6d3165326468e0142214,7,6,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
06-debug-b8,debugging / code review,8,376,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,9fcd208d88566dd58829632be8383b07139408b62aad6c152535abe6d3d13222,8,6,"[""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
07-algorithms-b1,algorithms / data-structure reasoning,1,175,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,142d9630d20070a555743a297e214382358847910f4536606ee9281d468cad36,1,7,"[""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
07-algorithms-b2,algorithms / data-structure reasoning,2,194,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,7a83deac39b69138f46ef1bbd39638cc63cd714b41cf7353c52474faad67f6a7,2,7,"[""FAMILY_REPRESENTATIVE"",""STAGE_A_PRIMARY"",""STAGE_B_REPRESENTATIVE""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
